# ITEMS DICTIONARY for ChatShop
#
# This file defines ChatShop's understanding of Minecraft items.
# Items not defined here will not be understood by ChatShop, which will
# flatly refuse to interact with them.
#
# ChatShop does not support non-vanilla items.
#
# FORMAT:
# ID[:DMG],real_minecraft_name   ,Alias[,Alias 2[,Alias 3[,...]]]   !FLAG[!FLAG[!FLAG[...]]]
# "minecraft:" omitted from all real_minecraft_names.
#
# ChatShop can query items by ID, ID:DMG, real_minecrat_name, or Alias.
#
# ALIASES:
# All references (in chat output) to items will be resolved to the first alias unless
# a !DISPLAY flag is present. Aliases which contain spaces will be logged twice; once with
# all spaces removed, and once with all spaces replaced by underscores.
#
# The !S flag is not yet implemented.
#
# Allowed flags:
#  !BAN           Items with this flag will be completely ignored. ChatShop will thusly refuse to
#                       interact with them at all. It is advised that you ban items rather than
#                       delete them, in the interest of maintaining a complete dictionary.
#
#  !DISPLAY-"..." The shop will use the specified display name instead of the first Alias, but will recognize both.
#
#  !S             The shop will not allow "s" forgiveness for this item.
#                       This flag is not yet implemented.
#

0,air                              ,Air                                 !BAN
1,stone                            ,Stone
1:1,stone                          ,Granite
1:2,stone                          ,Polished Granite
1:3,stone                          ,Diorite
1:4,stone                          ,Polished Diorite
1:5,stone                          ,Andesite
1:6,stone                          ,Polished Andesite
2,grass                            ,Grass
3,dirt                             ,Dirt
3:1,dirt                           ,Coarse Dirt
3:2,dirt                           ,Podzol
4,cobblestone                      ,Cobblestone,cobble
5,wood                             ,Oak Wood Plank,oakplank
5:1,wood                           ,Spruce Wood Plank,spruceplank
5:2,wood                           ,Birch Wood Plank,birchplank
5:3,wood                           ,Jungle Wood Plank,jungleplank
5:4,wood                           ,Acacia Wood Plank,acaciaplank
5:5,wood                           ,Dark Oak Wood Plank,darkoakplank
6,sapling                          ,Oak Sapling
6:1,sapling                        ,Spruce Sapling
6:2,sapling                        ,Birch Sapling
6:3,sapling                        ,Jungle Sapling
6:4,sapling                        ,Acacia Sapling
6:5,sapling                        ,Dark Oak Sapling
7,bedrock                          ,Bedrock                             !BAN
8,flowing_water                    ,Flowing Water                       !BAN
9,water                            ,Still Water                         !BAN
10,flowing_lava                    ,Flowing Lava                        !BAN
11,lava                            ,Still Lava                          !BAN
12,sand                            ,Sand
12:1,sand                          ,Red Sand
13,gravel                          ,Gravel
14,gold_ore                        ,Gold Ore,gore
15,iron_ore                        ,Iron Ore,iore
16,coal_ore                        ,Coal Ore,core
17,log                             ,Oak Wood,oak
17:1,log                           ,Spruce Wood,spruce
17:2,log                           ,Birch Wood,birch
17:3,log                           ,Jungle Wood,jungle
18,leaves                          ,Oak Leaves
18:1,leaves                        ,Spruce Leaves
18:2,leaves                        ,Birch Leaves
18:3,leaves                        ,Jungle Leaves
19,sponge                          ,Sponge
19:1,sponge                        ,Wet Sponge
20,glass                           ,Glass
21,lapis_ore                       ,Lapis Lazuli Ore,lore
22,lapis_block                     ,Lapis Lazuli Block,lapisb,lblock
23,dispenser                       ,Dispenser
24,sandstone                       ,Sandstone
24:1,sandstone                     ,Chiseled Sandstone
24:2,sandstone                     ,Smooth Sandstone
25,noteblock                       ,Note Block
26,bed                             ,Bed
27,golden_rail                     ,Powered Rail
28,detector_rail                   ,Detector Rail
29,sticky_piston                   ,Sticky Piston
30,web                             ,Cobweb
31,tallgrass                       ,Dead Shrub
31:1,tallgrass                     ,tall Grass
31:2,tallgrass                     ,Fern
32,deadbush                        ,Dead Bush
33,piston                          ,Piston
34,piston_head                     ,Piston Head                         !BAN
35,wool                            ,White Wool
35:1,wool                          ,Orange Wool
35:2,wool                          ,Magenta Wool
35:3,wool                          ,Light Blue Wool
35:4,wool                          ,Yellow Wool
35:5,wool                          ,Lime Wool
35:6,wool                          ,Pink Wool
35:7,wool                          ,Gray Wool
35:8,wool                          ,Light Gray Wool
35:9,wool                          ,Cyan Wool
35:10,wool                         ,Purple Wool
35:11,wool                         ,Blue Wool
35:12,wool                         ,Brown Wool
35:13,wool                         ,Green Wool
35:14,wool                         ,Red Wool
35:15,wool                         ,Black Wool
37,yellow_flower                   ,Dandelion
38,red_rose                        ,Poppy,rose
38:1,red_rose                      ,Blue Orchid
38:2,red_rose                      ,Allium
38:3,red_rose                      ,Azure Bluet
